#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.078904 179.391003 41.499209 20.348 19.227 19.014 18.774 18.429 0.045  0.011  0.011  0.011   0.02 768582782711779584 
0.063010 179.456323 41.569789 22.287 19.790 18.898 18.555 18.371 0.246  0.015  0.011  0.011   0.02 768584848591752064 
0.066403 179.456326 41.569792 22.100 19.787 18.895 18.553 18.362 0.210  0.015  0.011  0.011   0.02 768584848591752064 
0.120825 179.686088 41.573971 19.661 18.352 17.680 17.224 17.058 0.040  0.007  0.006  0.006   0.01 768605911111331328 
0.127444 179.686086 41.573965 19.728 18.365 17.686 17.232 17.065 0.041  0.008  0.006  0.006   0.01 768605911111331328 
0.127444 179.686086 41.573965 19.728 18.365 17.686 17.232 17.065 0.041  0.008  0.006  0.006   0.01 768605911111331328 
0.068157 179.922489 42.086457 18.815 18.511 18.557 18.681 18.600 0.020  0.007  0.009  0.011   0.03 768636212104794624 
0.069227 179.922497 42.086465 18.809 18.511 18.556 18.679 18.591 0.020  0.007  0.009  0.011   0.03 768636212104794624 
0.071152 179.922488 42.086457 18.840 18.531 18.588 18.719 18.646 0.021  0.008  0.009  0.011   0.03 768636212104794624 
0.032852 177.920011 41.669680 18.299 18.272 18.213 18.183 18.183 0.014  0.007  0.007  0.008   0.02 768741391559574528 
0.046732 177.920016 41.669678 18.286 18.266 18.211 18.169 18.172 0.014  0.007  0.007  0.008   0.02 768741391559574528 
0.045942 177.518107 41.658977 18.595 17.027 16.388 16.082 15.846 0.023  0.004  0.004  0.004   0.00 768785406384437760 
0.048131 177.518105 41.658978 18.641 17.040 16.398 16.092 15.860 0.023  0.004  0.004  0.004   0.00 768785406384437760 
0.048141 177.518105 41.658978 18.691 17.079 16.437 16.132 15.906 0.023  0.004  0.004  0.004   0.00 768785406384437760 
0.048972 177.597896 41.726103 20.886 19.005 18.381 17.977 17.818 0.070  0.009  0.008  0.008   0.01 768785917485189760 
0.059237 177.597896 41.726107 20.968 19.016 18.389 17.985 17.821 0.074  0.010  0.008  0.008   0.01 768785917485189760 
0.054362 177.641783 41.826645 18.890 18.638 18.558 18.265 18.158 0.019  0.008  0.009  0.009   0.02 768793373548440960 
0.056591 177.641783 41.826646 18.903 18.644 18.563 18.274 18.279 0.019  0.008  0.009  0.009   0.02 768793373548440960 
0.218342 177.641847 41.826649 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  768793373548440960 
0.228336 177.641848 41.826655 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  768793373548440960 
